AIRLINE_CODE;SOURCE_CODE;DESTINATION_CODE;DISTANCE;TIME
2B;AER;KZN;1505.8102948182277;2.3528417859561763
2B;ASF;KZN;1039.7372396500136;1.7099823995172603
2B;ASF;MRV;447.8629210754773;0.8936040290696239
2B;CEK;KZN;769.9893072489684;1.3379162858606461
2B;CEK;OVB;1337.7294545329735;2.121006144183412
2B;DME;KZN;715.1671234065141;1.262299480560709
2B;DME;NBC;891.7814721191231;1.5059054787849973
2B;DME;UUA;950.7910932946969;1.5872980597168236
2B;EGO;KGD;1171.0918446143387;1.8911611649852949
2B;EGO;KZN;1007.5737173809013;1.6656189205253809
2B;GYD;NBC;1684.2908308836918;2.599021835701644
2B;KGD;EGO;1171.0918446143387;1.8911611649852949
2B;KZN;AER;1505.8102948182277;2.3528417859561763
2B;KZN;ASF;1039.7372396500136;1.7099823995172603
2B;KZN;CEK;769.9893072489684;1.3379162858606461
2B;KZN;DME;715.1671234065141;1.262299480560709
2B;KZN;EGO;1007.5737173809013;1.6656189205253809
2B;KZN;LED;1216.0246192785269;1.9531374059014164
2B;KZN;SVX;723.0356707922626;1.273152649368638
2B;LED;KZN;1216.0246192785269;1.9531374059014164
2B;LED;NBC;1371.9613202467601;2.1682225106851862
2B;LED;UUA;1463.0704073873753;2.293890217086035
2B;MRV;ASF;447.8629210754773;0.8936040290696239
2B;NBC;DME;891.7814721191231;1.5059054787849973
2B;NBC;GYD;1684.2908308836918;2.599021835701644
2B;NBC;LED;1371.9613202467601;2.1682225106851862
2B;NBC;SVX;554.3295830637944;1.0404545973293715
2B;NJC;SVX;1011.9203899675765;1.6716143309897606
2B;NJC;UUA;1556.122550588221;2.422238000811339
2B;NUX;SVX;1323.7191876259371;2.1016816381047407
2B;OVB;CEK;1337.7294545329735;2.121006144183412
2B;OVB;SVX;1369.373909170897;2.1646536678219266
2B;SVX;KZN;723.0356707922626;1.273152649368638
2B;SVX;NBC;554.3295830637944;1.0404545973293715
2B;SVX;NJC;1011.9203899675765;1.6716143309897606
2B;SVX;NUX;1323.7191876259371;2.1016816381047407
2B;SVX;OVB;1369.373909170897;2.1646536678219266
2B;UUA;DME;950.7910932946969;1.5872980597168236
2B;UUA;LED;1463.0704073873753;2.293890217086035
2B;UUA;NJC;1556.122550588221;2.422238000811339
2G;BTK;IKT;488.01056297274204;0.9489800868589545
2G;BTK;OVB;1198.5509899372298;1.9290358481892824
2G;CEK;OVB;1337.7294545329735;2.121006144183412
2G;HTA;IKT;608.2329381577533;1.1148040526313838
2G;IKT;BTK;488.01056297274204;0.9489800868589545
2G;IKT;HTA;608.2329381577533;1.1148040526313838
2G;IKT;ODO;881.5920958678164;1.4918511667142296
2G;IKT;OVB;1457.841308181517;2.286677666457265
2G;IKT;UKX;517.137574126932;0.9891552746578373
2G;IKT;ULK;1133.7734776820914;1.8396875554235743
2G;IKT;YKS;1858.761814766856;2.8396714686439397
2G;MJZ;OVB;1966.1621391642532;2.9878098471231076
2G;ODO;IKT;881.5920958678164;1.4918511667142296
2G;OVB;BTK;1198.5509899372298;1.9290358481892824
2G;OVB;CEK;1337.7294545329735;2.121006144183412
2G;OVB;IKT;1457.841308181517;2.286677666457265
2G;UKX;IKT;517.137574126932;0.9891552746578373
2G;ULK;IKT;1133.7734776820914;1.8396875554235743
2G;YKS;IKT;1858.761814766856;2.8396714686439397
2I;AYP;LIM;339.7514200989353;0.7444847173778418
2I;CUZ;LIM;585.5131180675568;1.0834663697483542
2I;CUZ;PEM;310.7250529935486;0.7044483489566188
2I;HUU;LIM;257.9821074832989;0.6316994585976536
2I;IQT;PCL;529.1941561880432;1.0057850430179907
2I;IQT;TPP;454.55194344899155;0.9028302668261953
2I;LIM;AYP;339.7514200989353;0.7444847173778418
2I;LIM;CUZ;585.5131180675568;1.0834663697483542
